Subject/Teacher,1A,1B,1C,1D,1F,1G,2A,2B,2D,2G,3A,3B,3C,3D,3F,3G,4A,4B,4C,4D,4F,4G
ros,2,,2,2,2,2,4,,,,2,,2,2,2,2,2,,2,2,2,2
PM,2,,2,2,2,2,4,,,,2,,2,2,2,2,2,,2,2,2,2
roselkul,,,,,,,,,,,,3,,,,,,2,,,,
PM,,,,,,,,,,,,3,,,,,,2,,,,
wf,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
BH,3,3,,,,,3,3,,,3,,3,,,,,,,,,3
BL,3,3,,,3,3,,,3,3,,3,,3,3,,,3,3,3,,
Pi,,,3,3,3,3,3,3,3,3,3,,3,,,3,3,,3,,3,
WH,3,3,3,3,,,,,,,,3,,3,3,3,3,3,,3,3,3
wos,,,1,,,,2,,,,3,,3,,,,2,,3,,,
DC,,,,,,,2,,,,3,,3,,,,2,,3,,,
MŻ,,,1,,,,,,,,,,,,,,,,,,,
zajkszkr,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,,,,,
BW,,,,,,,,,1,,,,,,1,,,,,,,
DC,,,,,,,,,,,,,1,,,,,,,,,
IP,,,,,,1,,,,,,,,,,,,,,,,
KP,,,,,,,,,,,1,,,,,,,,,,,
MH,,,,1,,,,,,,,,,,,,,,,,,
MM,,,,,,,,,,1,,,,,,,,,,,,
MP,,,,,,,,,,,,,,,,1,,,,,,
MŻ,,,1,,,,,,,,,,,,,,,,,,,
PM,,,,,,,,1,,,,,,,,,,,,,,
PŁ,,,,,,,,,,,,1,,,,,,,,,,
Sc,1,,,,1,,,,,,,,,,,,,,,,,
Si,,1,,,,,,,,,,,,,,,,,,,,
zajksztkr,,,,,,,1,,,,,,,1,,,,,,,,
AG,,,,,,,,,,,,,,1,,,,,,,,
IM,,,,,,,1,,,,,,,,,,,,,,,
